Restaurant_Name,Rating,Cuisine_Type,Cost_for_one,Delivery_time,Offers,Restaurant_url
Goila Butter Chicken,4.1,"North Indian, Biryani, Mughlai",₹300 for one,33 min,40% OFF,https://www.zomato.com/ncr/goila-butter-chicken-connaught-place-new-delhi/order
Burger Point,4.1,"Burger, Pizza, Pasta, Fast Food, Shake, Beverages",₹150 for one,45 min,No Offers,https://www.zomato.com/ncr/burger-point-3-laxmi-nagar-new-delhi/order
Dhading KTM,4.3,"Chinese, Fast Food, Burger, Rolls",₹150 for one,40 min,No Offers,https://www.zomato.com/ncr/dhading-ktm-laxmi-nagar-new-delhi/order
Berco's - If You Love Chinese,4.0,"Chinese, Thai, Asian, Desserts",₹600 for one,34 min,30% OFF,https://www.zomato.com/ncr/bercos-if-you-love-chinese-east-patel-nagar-new-delhi/order
Grameen Kulfi,4.6,"Ice Cream, Desserts",₹150 for one,22 min,No Offers,https://www.zomato.com/ncr/grameen-kulfi-karol-bagh-new-delhi/order
California Burrito,4.5,"Mexican, American, Continental, Healthy Food, Beverages, Fast Food",₹200 for one,26 min,50% OFF,https://www.zomato.com/ncr/california-burrito-karol-bagh-new-delhi/order
Hudson Chopsticks - Fresh Chinese,4.1,"Chinese, Asian, Momos, Thai, Fast Food, Desserts, Beverages",₹200 for one,34 min,₹100 OFF,https://www.zomato.com/ncr/hudson-chopsticks-fresh-chinese-east-patel-nagar-new-delhi/order
Burgerama,4.6,"Burger, Fast Food, Beverages",₹250 for one,40 min,40% OFF,https://www.zomato.com/ncr/burgerama-safdarjung-new-delhi/order
Nomad Pizza - Traveller Series,4.3,"Pizza, Italian, Fast Food, Desserts, Beverages",₹400 for one,27 min,₹100 OFF,https://www.zomato.com/ncr/nomad-pizza-traveller-series-connaught-place-new-delhi/order
Ghar ka Khana by EatFit,4.4,"North Indian, South Indian, Healthy Food, Desserts, Beverages, Andhra, Mithai, Pizza",₹200 for one,29 min,60% OFF,https://www.zomato.com/ncr/ghar-ka-khana-by-eatfit-rajendra-place-new-delhi/order
Kings Kulfi,4.6,"Ice Cream, Desserts, Shake",₹100 for one,23 min,No Offers,https://www.zomato.com/ncr/kings-kulfi-rajinder-nagar-new-delhi/order
Shivji's Day Night Kitchen,3.9,"North Indian, Chinese, South Indian, Beverages",₹150 for one,57 min,10% OFF,https://www.zomato.com/ncr/shivjis-day-night-kitchen-1-rana-pratap-bagh-new-delhi/order
SashMick's Bakery,4.4,"Bakery, Desserts",₹200 for one,38 min,60% OFF,https://www.zomato.com/ncr/sashmicks-bakery-shakarpur-new-delhi/order
No. 1 Uncles Parantha,4.0,"North Indian, Fast Food, Street Food, Beverages",₹100 for one,35 min,₹150 OFF,https://www.zomato.com/ncr/no-1-uncles-parantha-rajinder-nagar-new-delhi/order
Lords Of Shawarma,4.1,"Shawarma, Momos, Chinese",₹200 for one,38 min,50% OFF,https://www.zomato.com/ncr/lords-of-shawarma-west-patel-nagar-new-delhi/order
The Momos Booth,4.0,"Momos, Chinese",₹150 for one,34 min,No Offers,https://www.zomato.com/ncr/the-momos-booth-west-patel-nagar-new-delhi/order
LeanCrust Pizza - ThinCrust Experts,4.3,"Pizza, Italian, Fast Food, Desserts",₹200 for one,25 min,₹200 OFF,https://www.zomato.com/ncr/leancrust-pizza-thincrust-experts-paharganj-new-delhi/order
Makhani Darbar,2.3,North Indian,₹100 for one,33 min,20% OFF,https://www.zomato.com/ncr/makhani-darbar-asaf-ali-road-new-delhi/order
Jain Chawal Wale,4.1,"North Indian, Chinese, Street Food, Beverages",₹200 for one,22 min,No Offers,https://www.zomato.com/ncr/jain-chawal-wale-connaught-place-new-delhi/order
Mealful Rolls - India's Biggest Rolls,4.1,"Rolls, North Indian, Desserts, Beverages",₹200 for one,29 min,₹200 OFF,https://www.zomato.com/ncr/mealful-rolls-indias-biggest-rolls-paharganj-new-delhi/order
Food Bus Of India,4.1,"Fast Food, North Indian, Biryani, Beverages, Desserts, Burger",₹200 for one,35 min,60% OFF,https://www.zomato.com/-2-food-truck/order
34 Chowringhee Lane,4.2,"Rolls, Momos",₹100 for one,36 min,No Offers,https://www.zomato.com/ncr/34-chowringhee-lane-east-patel-nagar-new-delhi/order
Moti Mahal Delux,4.0,"North Indian, Mughlai, Biryani, Kebab, Rolls, Desserts",₹600 for one,29 min,₹400 OFF,https://www.zomato.com/ncr/moti-mahal-delux-rajinder-nagar-new-delhi/order
Urban Chulha,4.0,"North Indian, Chinese, Biryani, Mughlai, Fast Food, Desserts",₹200 for one,34 min,₹150 OFF,https://www.zomato.com/ncr/urban-chulha-paharganj-new-delhi/order
The Tummy Section,4.2,"Shawarma, Momos, Burger, Fast Food, Chinese",₹200 for one,32 min,No Offers,https://www.zomato.com/ncr/the-tummy-section-rajendra-place-new-delhi/order
Chaayos Chai+Snacks=Relax,4.4,"Tea, Cafe, Coffee, Rolls, Fast Food, Beverages",₹200 for one,34 min,20% OFF,https://www.zomato.com/ncr/chaayos-chai-snacks-relax-east-patel-nagar-new-delhi/order
Prasuma Momo Kitchen,4.2,"Momos, Chinese, Asian, Japanese, Tibetan, Street Food, Finger Food, Beverages",₹200 for one,29 min,40% OFF,https://www.zomato.com/ncr/prasuma-momo-kitchen-karol-bagh-new-delhi/order
Tikka Junction,4.0,"North Indian, Mughlai, Biryani, Chinese, Kebab, Rolls, Fast Food",₹550 for one,42 min,No Offers,https://www.zomato.com/ncr/tikka-junction-kamla-nagar-new-delhi/order
Ghar Ki Rasoi,4.1,"North Indian, Burger, Continental, Fast Food, Street Food",₹100 for one,45 min,No Offers,https://www.zomato.com/ncr/ghar-ki-rasoi-3-inderlok-new-delhi/order
Salad Days,4.4,"Salad, Healthy Food, Sandwich, Juices",₹200 for one,24 min,No Offers,https://www.zomato.com/ncr/salad-days-gole-market-new-delhi/order
Hashtag Foods,4.3,"Fast Food, Pizza, Sandwich, Pasta, Street Food, Chinese, Momos, Beverages",₹200 for one,N/A,No Offers,https://www.zomato.com/ncr/hashtag-foods-kamla-nagar-new-delhi/order
Simple Burger,4.1,"Burger, Momos, Fast Food, Shake, Beverages",₹150 for one,33 min,30% OFF,https://www.zomato.com/ncr/simple-burger-karol-bagh-new-delhi/order
Dunkin' - Donuts & Coffee,4.4,"Desserts, Coffee, Bakery, Beverages",₹400 for one,25 min,20% OFF,https://www.zomato.com/ncr/dunkin-donuts-coffee-barakhamba-road-new-delhi/order
The Dhaba Junction,3.8,"North Indian, Oriental, Chinese, Sandwich, Pizza, Biryani, Fast Food",₹400 for one,36 min,60% OFF,https://www.zomato.com/ncr/the-dhaba-junction-karol-bagh-new-delhi/order
Pizza Studio,4.0,"Pizza, Fast Food",₹200 for one,41 min,No Offers,https://www.zomato.com/ncr/pizza-studio-1-laxmi-nagar-new-delhi/order
Veg Meals by Lunchbox,4.4,"North Indian, Biryani, Mughlai",₹150 for one,33 min,20% OFF,https://www.zomato.com/ncr/veg-meals-by-lunchbox-connaught-place-new-delhi/order
Slyce Pizza,4.2,"Pizza, Italian, Fast Food",₹200 for one,46 min,₹125 OFF,https://www.zomato.com/ncr/slyce-pizza-pandav-nagar-new-delhi/order
Qureshi's Kabab Corner,4.4,"North Indian, Mughlai, Rolls, BBQ, Biryani",₹400 for one,37 min,No Offers,https://www.zomato.com/ncr/qureshis-kabab-corner-defence-colony-new-delhi/order
Chinese Corner,4.2,"Chinese, Fast Food",₹100 for one,39 min,₹150 OFF,https://www.zomato.com/ncr/chinese-corner-lajpat-nagar-1-new-delhi/order
Flavours Of Punjab,4.0,"North Indian, Chinese, Biryani, Rolls",₹350 for one,32 min,₹175 OFF,https://www.zomato.com/ncr/flavours-of-punjab-rajinder-nagar-new-delhi/order
Jyoti Chinese Kitchen,3.9,"Chinese, Sichuan, Desserts, Beverages",₹150 for one,48 min,No Offers,https://www.zomato.com/ncr/jyoti-chinese-kitchen-delhi-university-gtb-nagar-new-delhi/order
Concept Shawarma,4.4,"North Indian, Chinese",₹200 for one,36 min,No Offers,https://www.zomato.com/ncr/concept-shawarma-defence-colony-new-delhi/order
GetAWay - Ice Creams & Desserts,4.4,"Ice Cream, Healthy Food, Desserts, Bakery",₹200 for one,19 min,40% OFF,https://www.zomato.com/ncr/getaway-ice-creams-desserts-connaught-place-new-delhi/order
Mad Over Donuts,4.3,"Desserts, Bakery, Beverages",₹200 for one,35 min,20% OFF,https://www.zomato.com/ncr/mad-over-donuts-1-rajendra-place-new-delhi/order
Waah Punjabi,3.6,"North Indian, Chinese",₹150 for one,38 min,50% OFF,https://www.zomato.com/ncr/waah-punjabi-laxmi-nagar-new-delhi/order
Kerala Night Kitchen,3.8,"North Indian, Chinese, Biryani, South Indian",₹100 for one,46 min,No Offers,https://www.zomato.com/ncr/kerala-night-kitchen-1-rana-pratap-bagh-new-delhi/order
Go Zero - Ice Creams & Desserts,4.3,"Ice Cream, Desserts, Healthy Food",₹150 for one,35 min,₹200 OFF,https://www.zomato.com/ncr/go-zero-ice-creams-desserts-karol-bagh-new-delhi/order
Crusto's - Cheese Burst Pizza,4.5,"Pizza, Italian, Fast Food, Beverages",₹150 for one,40 min,50% OFF,https://www.zomato.com/ncr/crustos-cheese-burst-pizza-karol-bagh-new-delhi/order
Sai Cake And Bake,3.3,Bakery,₹300 for one,35 min,50% OFF,https://www.zomato.com/ncr/sai-cake-and-bake-shadipur-new-delhi/order
NOTO - Ice Creams & Desserts,4.4,"Ice Cream, Mithai, Desserts",₹100 for one,32 min,No Offers,https://www.zomato.com/ncr/noto-ice-creams-desserts-karol-bagh-new-delhi/order
Sheikh Chang Singh,4.3,"Momos, Rolls, Fast Food, Biryani, North Indian, Beverages",₹200 for one,30 min,₹150 OFF,https://www.zomato.com/ncr/sheikh-chang-singh-karol-bagh-new-delhi/order
Itminaan Matka Biryani - Slow Cooked,4.1,"Biryani, North Indian, Mughlai",₹200 for one,35 min,₹200 OFF,https://www.zomato.com/ncr/itminaan-matka-biryani-slow-cooked-paharganj-new-delhi/order
Lazeez Kebab & Curries,4.2,"North Indian, Mughlai, Kebab, Chinese, Rolls, Momos",₹200 for one,25 min,Flat 15% OFF,https://www.zomato.com/ncr/lazeez-kebab-curries-rajinder-nagar-new-delhi/order
ROLL XPRESS,3.8,Rolls,₹150 for one,33 min,Free Mojito,https://www.zomato.com/ncr/roll-xpress-laxmi-nagar-new-delhi/order
Smoor,4.5,"Cake, Desserts, Bakery, Beverages, Shake",₹300 for one,40 min,₹175 OFF,https://www.zomato.com/ncr/smoor-defence-colony-new-delhi/order
Andhra Kodi Pulao,4.3,"Biryani, Andhra, Mughlai, North Indian, Street Food, Chinese",₹200 for one,20 min,₹125 OFF,https://www.zomato.com/ncr/andhra-kodi-pulao-connaught-place-new-delhi/order
The Momo Co.,4.3,"Momos, Chinese",₹200 for one,N/A,Flat 20% OFF,https://www.zomato.com/ncr/the-momo-co-kashmiri-gate-new-delhi/order
Qureshi Fast Food,4.3,"Fast Food, Burger",₹150 for one,54 min,No Offers,https://www.zomato.com/ncr/qureshi-fast-food-daryaganj-new-delhi/order
Kake Di Hatti,4.1,"North Indian, Chinese, Rolls, Shake, Beverages",₹500 for one,51 min,No Offers,https://www.zomato.com/ncr/kake-di-hatti-chandni-chowk-new-delhi/order
Bawarchi,4.2,"North Indian, Chinese, Mughlai, Momos, Biryani, Rolls, Fast Food, Asian",₹250 for one,37 min,Flat 20% OFF,https://www.zomato.com/ncr/bawarchi-chanakyapuri-new-delhi/order
